Titre,Texte,text,language,clean_text
J'aime beaucoup,"Une commande par mois, rarement déçue. Si je n'apprécie pas je peux renvoyer. La déco maison, les vêtements pour moi et ma fille sont top. Réception pas très longue","J'aime beaucoup Une commande par mois, rarement déçue. Si je n'apprécie pas je peux renvoyer. La déco maison, les vêtements pour moi et ma fille sont top. Réception pas très longue",fr,jaime beaucoup commande mois rarement déçue si napprécie peux renvoyer déco maison vêtements fille top réception très longue
Satisfaite de la qualité du vêtement.,Livraison rapide vêtement de bonne qualité.,Satisfaite de la qualité du vêtement. Livraison rapide vêtement de bonne qualité.,fr,satisfaite qualité vêtement livraison rapide vêtement bonne qualité
100/100,"Moi que j’aime pas, j’ai partagé avec combien de personnes avec ma famille avec moi mes belles avec mon mari avec mes amis et j’ai rien gagné avec shien","100/100 Moi que j’aime pas, j’ai partagé avec combien de personnes avec ma famille avec moi mes belles avec mon mari avec mes amis et j’ai rien gagné avec shien",fr,100100 ’ aime ’ partagé combien personnes famille belles mari amis ’ rien gagné shien
Je suis très satisfaite de mes achats…,Je suis très satisfaite de mes achats le site et fiable! Je recommande,Je suis très satisfaite de mes achats… Je suis très satisfaite de mes achats le site et fiable! Je recommande,fr,très satisfaite achats… très satisfaite achats site fiable recommande
Génial,"Génial, pour tous les articles déjà achetés. Mode: enfant, homme, femme.
Décoration : anniversaire ! Le top. C'est vraiment très sympa, le choix des couleurs et des très bonnes idées. Je recommande fortement.","Génial Génial, pour tous les articles déjà achetés. Mode: enfant, homme, femme.
Décoration : anniversaire ! Le top. C'est vraiment très sympa, le choix des couleurs et des très bonnes idées. Je recommande fortement.",fr,génial génial tous articles déjà achetés mode enfant homme femme décoration anniversaire top cest vraiment très sympa choix couleurs très bonnes idées recommande fortement
"Je suis satisfaite de mes commandes, SHEIN,Je suis très satisfaite de ce que je…","Je suis très satisfaite de ce que je commande, j’ai aucun souci sur la commande, je n’ai juste une robe à retourner car elle me mettait trop grande et ne me mettait pas du tout en valeur","Je suis satisfaite de mes commandes, SHEIN,Je suis très satisfaite de ce que je… Je suis très satisfaite de ce que je commande, j’ai aucun souci sur la commande, je n’ai juste une robe à retourner car elle me mettait trop grande et ne me mettait pas du tout en valeur",fr,satisfaite commandes sheinje très satisfaite je… très satisfaite commande ’ aucun souci commande ’ juste robe retourner car mettait trop grande mettait tout valeur
Pas mal juste meuble chaussures trop…,Pas mal juste meuble chaussures trop petit,Pas mal juste meuble chaussures trop… Pas mal juste meuble chaussures trop petit,fr,mal juste meuble chaussures trop… mal juste meuble chaussures trop petit
Parfait,"Aucun retour à prévoir. Tout me taille parfaitement, bonne matière.","Parfait Aucun retour à prévoir. Tout me taille parfaitement, bonne matière.",fr,parfait aucun retour prévoir tout taille parfaitement bonne matière
L’article reçu était défectueux au…,L’article reçu était défectueux au niveau de l’interrupteur ce qui peut être très dangereux,L’article reçu était défectueux au… L’article reçu était défectueux au niveau de l’interrupteur ce qui peut être très dangereux,fr,’ article reçu défectueux au… ’ article reçu défectueux niveau ’ interrupteur peut être très dangereux
Satisfait,"J hésitais a commander mais ça va .
Pas déçu du tout","Satisfait J hésitais a commander mais ça va .
Pas déçu du tout",fr,satisfait hésitais commander ça va déçu tout
Le t-shirt en soit est très bien taille…,"Le t-shirt en soit est très bien taille bien, pas d'odeur
Mais le transfert posé sur le t-shirt une horreur.
J'ai eu un t-shirt similaire il y a 2 mois au bout de deux lavage le transfert c'est arraché totalement.
Bien sûr shein ma remboursé a moitié prix le t-shirt ..
Si cela fait pareil je ne saurais recommandé ce site, regarder bien les commentaires !!","Le t-shirt en soit est très bien taille… Le t-shirt en soit est très bien taille bien, pas d'odeur
Mais le transfert posé sur le t-shirt une horreur.
J'ai eu un t-shirt similaire il y a 2 mois au bout de deux lavage le transfert c'est arraché totalement.
Bien sûr shein ma remboursé a moitié prix le t-shirt ..
Si cela fait pareil je ne saurais recommandé ce site, regarder bien les commentaires !!",fr,tshirt très bien taille… tshirt très bien taille bien dodeur transfert posé tshirt horreur jai tshirt similaire a 2 mois bout deux lavage transfert cest arraché totalement bien sûr shein remboursé moitié prix tshirt si cela fait pareil saurais recommandé site regarder bien commentaires
Je n'ai pas reçu ma commande,Je n'ai pas reçu ma commande,Je n'ai pas reçu ma commande Je n'ai pas reçu ma commande,fr,nai reçu commande nai reçu commande
Les articles de moins en moins de…,Les articles de moins en moins de qualité mais les prix sont très attractifs,Les articles de moins en moins de… Les articles de moins en moins de qualité mais les prix sont très attractifs,fr,articles moins moins de… articles moins moins qualité prix très attractifs
Vous êtes la meilleure,Vous êtes la meilleure,Vous êtes la meilleure Vous êtes la meilleure,fr,meilleure meilleure
J'ai jamais eu de soucis,"J'ai jamais eu de soucis, un article ne va pas, c'est facile pour le retour. Toujours satisfaite jusqu'à présent des articles que j'ai acheté .","J'ai jamais eu de soucis J'ai jamais eu de soucis, un article ne va pas, c'est facile pour le retour. Toujours satisfaite jusqu'à présent des articles que j'ai acheté .",fr,jai jamais soucis jai jamais soucis article va cest facile retour toujours satisfaite jusquà présent articles jai acheté
Articles à éviter,"Articles de soutien gorge sans armatures très décevants
Mauvaise qualité et aucun maintien","Articles à éviter Articles de soutien gorge sans armatures très décevants
Mauvaise qualité et aucun maintien",fr,articles éviter articles soutien gorge sans armatures très décevants mauvaise qualité aucun maintien
"couleurs superbes ,tailles parfaites…","couleurs superbes ,tailles parfaites tissus léger j'adore","couleurs superbes ,tailles parfaites… couleurs superbes ,tailles parfaites tissus léger j'adore",fr,couleurs superbes tailles parfaites… couleurs superbes tailles parfaites tissus léger jadore
Satisfaite,Toujours satisfaite de mes achats par contre certains articles arrivent défectueux surtout quand c est de la déco maison et les prix ont augmenté un peu mais j arrive toujours à trouver mon bonheur par contre les livraisons cirro je suis très déçu ne respecte pas nos colis donc pourquoi ont se retrouve avec des produits défectueux,Satisfaite Toujours satisfaite de mes achats par contre certains articles arrivent défectueux surtout quand c est de la déco maison et les prix ont augmenté un peu mais j arrive toujours à trouver mon bonheur par contre les livraisons cirro je suis très déçu ne respecte pas nos colis donc pourquoi ont se retrouve avec des produits défectueux,fr,satisfaite toujours satisfaite achats contre certains articles arrivent défectueux surtout quand déco maison prix augmenté peu arrive toujours trouver bonheur contre livraisons cirro très déçu respecte colis donc pourquoi retrouve produits défectueux
Choix tres vaste,"Choix tres vaste, très diversifié, sur le site
Rapport qualité prix très intéressant","Choix tres vaste Choix tres vaste, très diversifié, sur le site
Rapport qualité prix très intéressant",fr,choix tres vaste choix tres vaste très diversifié site rapport qualité prix très intéressant
J'ai un remboursement que j'ai jamais…,J'ai un remboursement que j'ai jamais reçu de Shein a chaque fois que je reclame on m'envoie le mme message le remboursement a eté fait c'est robot qui répond sans chercher a comprendre je suis déçu tout au début ils étaient pas commeca moi j'ai pas était remboursé jusqu'à maintenant,J'ai un remboursement que j'ai jamais… J'ai un remboursement que j'ai jamais reçu de Shein a chaque fois que je reclame on m'envoie le mme message le remboursement a eté fait c'est robot qui répond sans chercher a comprendre je suis déçu tout au début ils étaient pas commeca moi j'ai pas était remboursé jusqu'à maintenant,fr,jai remboursement jai jamais… jai remboursement jai jamais reçu shein chaque fois reclame menvoie mme message remboursement eté fait cest robot répond sans chercher comprendre déçu tout début commeca jai remboursé jusquà maintenant
Tout était parfait,Tout était parfait,Tout était parfait Tout était parfait,fr,tout parfait tout parfait
J'ai été très content des produits qui…,"J'ai été très content des produits qui m'ont été destiné.
Pas déçu des articles. Cela correspondait bien aux différents produits et aucune nuances de couleurs, y compris les chaussures.","J'ai été très content des produits qui… J'ai été très content des produits qui m'ont été destiné.
Pas déçu des articles. Cela correspondait bien aux différents produits et aucune nuances de couleurs, y compris les chaussures.",fr,jai très content produits qui… jai très content produits mont destiné déçu articles cela correspondait bien différents produits aucune nuances couleurs compris chaussures
La qualité est de moins en moins bonne…,La qualité est de moins en moins bonne déçu,La qualité est de moins en moins bonne… La qualité est de moins en moins bonne déçu,fr,qualité moins moins bonne… qualité moins moins bonne déçu
Au top Je commande,"Je commande régulièrement et c’est géniale
Et si l’article ne me convient pas je le renvoie et je suis remboursée
Très bon site","Au top Je commande Je commande régulièrement et c’est géniale
Et si l’article ne me convient pas je le renvoie et je suis remboursée
Très bon site",fr,top commande commande régulièrement ’ géniale si ’ article convient renvoie remboursée très bon site
Meilleur site,Top qualité prix merci,Meilleur site Top qualité prix merci,fr,meilleur site top qualité prix merci
Très beau site de commande,"Jamais déçu, très beau modèles, mode au top il y'en a pour tout le monde, très bien tailler. Le transport au top . La seule chose c'est que les robes sont souvent transparente ce qui est vraiment dommage. Le prix est très attractif.","Très beau site de commande Jamais déçu, très beau modèles, mode au top il y'en a pour tout le monde, très bien tailler. Le transport au top . La seule chose c'est que les robes sont souvent transparente ce qui est vraiment dommage. Le prix est très attractif.",fr,très beau site commande jamais déçu très beau modèles mode top yen tout monde très bien tailler transport top seule chose cest robes souvent transparente vraiment dommage prix très attractif
Je suis très satisfaite de ma commande…,Je suis très satisfaite de ma commande,Je suis très satisfaite de ma commande… Je suis très satisfaite de ma commande,fr,très satisfaite commande… très satisfaite commande
Toujours satisfaite,Livraison rapide et produits fidèles aux descriptions,Toujours satisfaite Livraison rapide et produits fidèles aux descriptions,fr,toujours satisfaite livraison rapide produits fidèles descriptions
Sublime,Tout est parfait,Sublime Tout est parfait,fr,sublime tout parfait
Super,Envoie rapide,Super Envoie rapide,fr,super envoie rapide
Top du top,Délais de livraison respectés... les produits sont top ..et le rapport qualité/prix excellent,Top du top Délais de livraison respectés... les produits sont top ..et le rapport qualité/prix excellent,fr,top top délais livraison respectés produits top rapport qualitéprix excellent
Rapide la livraison,Rapide la livraison,Rapide la livraison Rapide la livraison,fr,rapide livraison rapide livraison
C’est la première fois je je suis déçu…,C’est la première fois je je suis déçu non pas par Shein mais par leur transporteur qui a saccager mon colis et du coup des pièces sont manquantes sur un élément acheter,C’est la première fois je je suis déçu… C’est la première fois je je suis déçu non pas par Shein mais par leur transporteur qui a saccager mon colis et du coup des pièces sont manquantes sur un élément acheter,fr,’ première fois déçu… ’ première fois déçu non shein transporteur saccager colis coup pièces manquantes élément acheter
Tout était parfait merci,Date de l'expérience: 18 mars 2025,Tout était parfait merci Date de l'expérience: 18 mars 2025,fr,tout parfait merci date lexpérience 18 mars 2025
Parfait,Article conforme pas cher,Parfait Article conforme pas cher,fr,parfait article conforme cher
Déçu,"Déçu de la qualité de ma dernière commande, je devais avoir un bon de 400€ des 100€ d’achats si je faisait une commande avec certains produits (ce que j’ai fait) et aucuns bons d’achat","Déçu Déçu de la qualité de ma dernière commande, je devais avoir un bon de 400€ des 100€ d’achats si je faisait une commande avec certains produits (ce que j’ai fait) et aucuns bons d’achat",fr,déçu déçu qualité dernière commande devais avoir bon 400€ 100€ ’ achats si faisait commande certains produits ’ fait aucuns bons ’ achat
Livraison ultra rapide et les articles…,Livraison ultra rapide et les articles comme présentés,Livraison ultra rapide et les articles… Livraison ultra rapide et les articles comme présentés,fr,livraison ultra rapide articles… livraison ultra rapide articles comme présentés
top rapport qualite prix !,Date de l'expérience: 18 mars 2025,top rapport qualite prix ! Date de l'expérience: 18 mars 2025,fr,top rapport qualite prix date lexpérience 18 mars 2025
Commande niquel,Commande niquel,Commande niquel Commande niquel,fr,commande niquel commande niquel
Nikel très satisfaite de tt les produit,Date de l'expérience: 18 mars 2025,Nikel très satisfaite de tt les produit Date de l'expérience: 18 mars 2025,fr,nikel très satisfaite tt produit date lexpérience 18 mars 2025
Ils sont super les trucs que j'ai…,Ils sont super les trucs que j'ai acheté chez shein merci beaucoup,Ils sont super les trucs que j'ai… Ils sont super les trucs que j'ai acheté chez shein merci beaucoup,fr,super trucs jai… super trucs jai acheté chez shein merci beaucoup
Globalement satisfaite,"Commande reçue très rapidement toutefois je suis déçue par la tunique en dentelle qui n'est pas très longue. Sur la photo, elle avait le devant arrondi et un peu long mais là elle était coupée droite et courte, cela ressemble plus à un tee-shirt","Globalement satisfaite Commande reçue très rapidement toutefois je suis déçue par la tunique en dentelle qui n'est pas très longue. Sur la photo, elle avait le devant arrondi et un peu long mais là elle était coupée droite et courte, cela ressemble plus à un tee-shirt",fr,globalement satisfaite commande reçue très rapidement toutefois déçue tunique dentelle nest très longue photo devant arrondi peu long là coupée droite courte cela ressemble plus teeshirt
c’est bien,"c’est bien, mais les prix ont augmenté","c’est bien c’est bien, mais les prix ont augmenté",fr,’ bien ’ bien prix augmenté
Aucun problème livraison rapide,"Aucun problème livraison rapide.
Conforme au photos","Aucun problème livraison rapide Aucun problème livraison rapide.
Conforme au photos",fr,aucun problème livraison rapide aucun problème livraison rapide conforme photos
Les prix sont très intéressants,"Les prix sont très intéressants, livraison faite en temps et en heure.
Des choix très satisfaisant","Les prix sont très intéressants Les prix sont très intéressants, livraison faite en temps et en heure.
Des choix très satisfaisant",fr,prix très intéressants prix très intéressants livraison faite temps heure choix très satisfaisant
Produit endommagé,J’ai reçu une jupe que j’ai commandé avec le bouton cassé arraché dans l’emballage et le tissu était déchiré aussi vraiment déçu !!!,Produit endommagé J’ai reçu une jupe que j’ai commandé avec le bouton cassé arraché dans l’emballage et le tissu était déchiré aussi vraiment déçu !!!,fr,produit endommagé ’ reçu jupe ’ commandé bouton cassé arraché ’ emballage tissu déchiré aussi vraiment déçu
Tout était parfait,Tout était parfait,Tout était parfait Tout était parfait,fr,tout parfait tout parfait
A mis du temps à arriver,A mis du temps à arriver,A mis du temps à arriver A mis du temps à arriver,fr,a mis temps arriver mis temps arriver
J aime bien.,J aime bien.,J aime bien. J aime bien.,fr,aime bien aime bien
Tjr fort sit shien,Tjr fort est satisfait,Tjr fort sit shien Tjr fort est satisfait,fr,tjr fort sit shien tjr fort satisfait
avis shein,"Shein propose des vêtements vraiment stylés, et j’adore leurs collections ! Même si la qualité peut parfois varier, les prix sont abordables. Ce serait encore mieux avec plus de réductions sur les pièces les plus tendance. En tout cas, je commande souvent et je suis rarement déçue !","avis shein Shein propose des vêtements vraiment stylés, et j’adore leurs collections ! Même si la qualité peut parfois varier, les prix sont abordables. Ce serait encore mieux avec plus de réductions sur les pièces les plus tendance. En tout cas, je commande souvent et je suis rarement déçue !",fr,avis shein shein propose vêtements vraiment stylés ’ adore leurs collections si qualité peut parfois varier prix abordables encore mieux plus réductions pièces plus tendance tout cas commande souvent rarement déçue
Ont trouve de tout et c est un site…,Ont trouve de tout et c est un site génial,Ont trouve de tout et c est un site… Ont trouve de tout et c est un site génial,fr,trouve tout site… trouve tout site génial
Produit conforme à l’offre et livraison…,Produit conforme à l’offre et livraison rapide rien à redire,Produit conforme à l’offre et livraison… Produit conforme à l’offre et livraison rapide rien à redire,fr,produit conforme ’ offre livraison… produit conforme ’ offre livraison rapide rien redire
très bon achats je recommande,très bon achats je recommande,très bon achats je recommande très bon achats je recommande,fr,très bon achats recommande très bon achats recommande
Produits correspondants au site,"Produits correspondants au site
Livraison plutôt rapide","Produits correspondants au site Produits correspondants au site
Livraison plutôt rapide",fr,produits correspondants site produits correspondants site livraison plutôt rapide
Tout est parfait,"Tout est parfait, produit, livraison, j'adore","Tout est parfait Tout est parfait, produit, livraison, j'adore",fr,tout parfait tout parfait produit livraison jadore
SHEIN c’est toujours parfait 👍,SHEIN c’est toujours parfait 👍,SHEIN c’est toujours parfait 👍 SHEIN c’est toujours parfait 👍,fr,shein ’ toujours parfait 👍 shein ’ toujours parfait 👍
C’est u super site,C’est u super site,C’est u super site C’est u super site,fr,’ super site ’ super site
ROBE ROSE LONGUE EN LAINAGE,"Article parfait. Doux, confortable, bien coupé. Jolie couleur.","ROBE ROSE LONGUE EN LAINAGE Article parfait. Doux, confortable, bien coupé. Jolie couleur.",fr,robe rose longue lainage article parfait doux confortable bien coupé jolie couleur
Service client,.Problème résolu en quelques secondes par messagerie avec le service client. Très réactive. Je suis soulagée de savoir qu'on peut faire confiance a shein.,Service client .Problème résolu en quelques secondes par messagerie avec le service client. Très réactive. Je suis soulagée de savoir qu'on peut faire confiance a shein.,fr,service client problème résolu quelques secondes messagerie service client très réactive soulagée savoir quon peut faire confiance shein
Pas chère et livraison rapide,"Prix pas, cher, expédition rapide, retour facile, le sol bémol la qualité sur certains articles","Pas chère et livraison rapide Prix pas, cher, expédition rapide, retour facile, le sol bémol la qualité sur certains articles",fr,chère livraison rapide prix cher expédition rapide retour facile sol bémol qualité certains articles
Service client pas top,"Le service client est vraiment pas top
Et traité certains clients de menteurs sans chercher à comprendre","Service client pas top Le service client est vraiment pas top
Et traité certains clients de menteurs sans chercher à comprendre",fr,service client top service client vraiment top traité certains clients menteurs sans chercher comprendre
DES ARTICLES DES PRODUITS NON CONFORMES…,DES ARTICLES DES PRODUITS NON CONFORMES A LA DESCRIPTION,DES ARTICLES DES PRODUITS NON CONFORMES… DES ARTICLES DES PRODUITS NON CONFORMES A LA DESCRIPTION,fr,articles produits non conformes… articles produits non conformes description
c toujours nickel,"c toujours nickel , le délai et la communication","c toujours nickel c toujours nickel , le délai et la communication",fr,toujours nickel toujours nickel délai communication
Manque de sérieux pour la livraison,Le livreur s’est encore trompé de boîte aux lettres ce qui fait que je ne peux pas avoir mon colis puisque mon voisin est parti en vacances 👍🏻👍🏻,Manque de sérieux pour la livraison Le livreur s’est encore trompé de boîte aux lettres ce qui fait que je ne peux pas avoir mon colis puisque mon voisin est parti en vacances 👍🏻👍🏻,fr,manque sérieux livraison livreur ’ encore trompé boîte lettres fait peux avoir colis puisque voisin parti vacances 👍🏻👍🏻
Produit conforme au photo taille…,Produit conforme au photo taille parfaite,Produit conforme au photo taille… Produit conforme au photo taille parfaite,fr,produit conforme photo taille… produit conforme photo taille parfaite
je n’ai que des bonnes expériences avec…,je n’ai que des bonnes expériences avec shein. en cas de retours c’est traités rapidement et les commandes sont envoyer de plus en plus rapidement. et le choix des styles de vêtements est immense.,je n’ai que des bonnes expériences avec… je n’ai que des bonnes expériences avec shein. en cas de retours c’est traités rapidement et les commandes sont envoyer de plus en plus rapidement. et le choix des styles de vêtements est immense.,fr,’ bonnes expériences avec… ’ bonnes expériences shein cas retours ’ traités rapidement commandes envoyer plus plus rapidement choix styles vêtements immense
Jamais déçue !,"Jamais déçue !! Site fiable et rapport qualité prix, difficile de faire mieux !!
Je commande depuis des années et je n'ai jamais eu de problème.","Jamais déçue ! Jamais déçue !! Site fiable et rapport qualité prix, difficile de faire mieux !!
Je commande depuis des années et je n'ai jamais eu de problème.",fr,jamais déçue jamais déçue site fiable rapport qualité prix difficile faire mieux commande depuis années nai jamais problème
Toujours un très bon suivi de commande,Toujours un très bon suivi de commande,Toujours un très bon suivi de commande Toujours un très bon suivi de commande,fr,toujours très bon suivi commande toujours très bon suivi commande
Bon rapport qualité prix,"Bon rapport qualité prix, retour des articles très vite examiné","Bon rapport qualité prix Bon rapport qualité prix, retour des articles très vite examiné",fr,bon rapport qualité prix bon rapport qualité prix retour articles très vite examiné
Il y a un Satisfations,"Il y a un bout de temps, je commande chez seine. Je suis satisfait et je continue...Merci pour la rapidité, le savoir-faire des colis.....","Il y a un Satisfations Il y a un bout de temps, je commande chez seine. Je suis satisfait et je continue...Merci pour la rapidité, le savoir-faire des colis.....",fr,a satisfations a bout temps commande chez seine satisfait continuemerci rapidité savoirfaire colis
Satisfaite de ma commande,"Satisfaite de ma commande, conforme aux photos","Satisfaite de ma commande Satisfaite de ma commande, conforme aux photos",fr,satisfaite commande satisfaite commande conforme photos
Tres bien top,Date de l'expérience: 17 mars 2025,Tres bien top Date de l'expérience: 17 mars 2025,fr,tres bien top date lexpérience 17 mars 2025
QUALITE PRIX,BONNE QUALITE PRX,QUALITE PRIX BONNE QUALITE PRX,fr,qualite prix bonne qualite prx
Très vite reçu,"Très vite reçu, emballage impeccable","Très vite reçu Très vite reçu, emballage impeccable",fr,très vite reçu très vite reçu emballage impeccable
J'adore merci toujours surpris par la qualité des produits,"J'adore shein, toujours très surpris de la qualité des produits et la livraison très rapide.
Merci","J'adore merci toujours surpris par la qualité des produits J'adore shein, toujours très surpris de la qualité des produits et la livraison très rapide.
Merci",fr,jadore merci toujours surpris qualité produits jadore shein toujours très surpris qualité produits livraison très rapide merci
L'honnêteté qualité prix est respecté,"L'honnêteté qualité prix est respectée, les produits sont sympas et abordables.
Quelques soucis de taille, toutefois lorsqu'on s'habitue aux produits, c'est moins courant, mais des points relais de livraisons non respectés, c'est dommage..","L'honnêteté qualité prix est respecté L'honnêteté qualité prix est respectée, les produits sont sympas et abordables.
Quelques soucis de taille, toutefois lorsqu'on s'habitue aux produits, c'est moins courant, mais des points relais de livraisons non respectés, c'est dommage..",fr,lhonnêteté qualité prix respecté lhonnêteté qualité prix respectée produits sympas abordables quelques soucis taille toutefois lorsquon shabitue produits cest moins courant points relais livraisons non respectés cest dommage
Délais respecter vêtement identique aux…,Délais respecter vêtement identique aux présentations du site et taille juste,Délais respecter vêtement identique aux… Délais respecter vêtement identique aux présentations du site et taille juste,fr,délais respecter vêtement identique aux… délais respecter vêtement identique présentations site taille juste
Très bonne expérience avec eux super,Très bonne expérience avec eux super,Très bonne expérience avec eux super Très bonne expérience avec eux super,fr,très bonne expérience super très bonne expérience super
Bien sans plus...,Bon rapport qualité/prix. Ne demandez pas la lune à ce prix là ! Là plupart des articles sont bas de gamme de Chine.,Bien sans plus... Bon rapport qualité/prix. Ne demandez pas la lune à ce prix là ! Là plupart des articles sont bas de gamme de Chine.,fr,bien sans plus bon rapport qualitéprix demandez lune prix là là plupart articles bas gamme chine
Produits conformes à la description et…,Produits conformes à la description et à mon attente,Produits conformes à la description et… Produits conformes à la description et à mon attente,fr,produits conformes description et… produits conformes description attente
Satisfaite 😍,"À part deux ou trois articles fragiles ou cassés depuis plusieurs années clientes, je ne suis pas déçue de shein 😀😍.","Satisfaite 😍 À part deux ou trois articles fragiles ou cassés depuis plusieurs années clientes, je ne suis pas déçue de shein 😀😍.",fr,satisfaite 😍 part deux trois articles fragiles cassés depuis plusieurs années clientes déçue shein 😀😍
Shein vous êtes vraiment des voleurs…,"Shein vous êtes vraiment des voleurs avec votre service client pitoyable,vous avez le pire service client qui existe. Les retours vous devez les rembourser correctement pas un article sur deux et on a beau à fournir des preuves à vos agents et une fois les preuves reçues vous donnez pas de suite. Je vais contacter DGCCRF (Direction Générale de la Concurrence, de la Consommation et de la Répression des Fraudes) via SignalConso en France nous avons des lois et des droits en tant que consommateurs si vous n’êtes pas au courant. Sachez si vous êtes dans la même situation comme moi n’hésitez pas à contacter DGCCRF (Direction Générale de la Concurrence, de la Consommation et de la Répression des Fraudes) via SignalConso comme moi je suis en train de faire,on se laisse pas voler.
SHEIN VOUS ÊTES DES ARNAQUEURS","Shein vous êtes vraiment des voleurs… Shein vous êtes vraiment des voleurs avec votre service client pitoyable,vous avez le pire service client qui existe. Les retours vous devez les rembourser correctement pas un article sur deux et on a beau à fournir des preuves à vos agents et une fois les preuves reçues vous donnez pas de suite. Je vais contacter DGCCRF (Direction Générale de la Concurrence, de la Consommation et de la Répression des Fraudes) via SignalConso en France nous avons des lois et des droits en tant que consommateurs si vous n’êtes pas au courant. Sachez si vous êtes dans la même situation comme moi n’hésitez pas à contacter DGCCRF (Direction Générale de la Concurrence, de la Consommation et de la Répression des Fraudes) via SignalConso comme moi je suis en train de faire,on se laisse pas voler.
SHEIN VOUS ÊTES DES ARNAQUEURS",fr,shein vraiment voleurs… shein vraiment voleurs service client pitoyablevous pire service client existe retours devez rembourser correctement article deux beau fournir preuves agents fois preuves reçues donnez suite vais contacter dgccrf direction générale concurrence consommation répression fraudes via signalconso france lois droits tant consommateurs si ’ courant sachez si situation comme ’ hésitez contacter dgccrf direction générale concurrence consommation répression fraudes via signalconso comme train faireon laisse voler shein arnaqueurs
"Incroyable, c'est de la qualité, de la bonne taille, un plaisir.",Incroyable,"Incroyable, c'est de la qualité, de la bonne taille, un plaisir. Incroyable",fr,incroyable cest qualité bonne taille plaisir incroyable
Bonne expérience,"On a toujours une appréhension de commander à l'étranger (arnaque, article non reçu.....)
En ce qui me concerne je recommande, j'ai eu toutes mes commandes en bonne et due forme, bien sûr il faut être conscient que si on achète sur ce site on n'en a pour son argent. Mais je n'ai jamais eu de souci bien au contraire","Bonne expérience On a toujours une appréhension de commander à l'étranger (arnaque, article non reçu.....)
En ce qui me concerne je recommande, j'ai eu toutes mes commandes en bonne et due forme, bien sûr il faut être conscient que si on achète sur ce site on n'en a pour son argent. Mais je n'ai jamais eu de souci bien au contraire",fr,bonne expérience toujours appréhension commander létranger arnaque article non reçu concerne recommande jai toutes commandes bonne due forme bien sûr faut être conscient si achète site nen argent nai jamais souci bien contraire
Tout est bien sauf le transporteur pack…,Tout est bien sauf le transporteur pack qui assure la livraison . Ne sonne pas ni ne téléphone donc commande renvoyée alors que je me trouvais chez moi,Tout est bien sauf le transporteur pack… Tout est bien sauf le transporteur pack qui assure la livraison . Ne sonne pas ni ne téléphone donc commande renvoyée alors que je me trouvais chez moi,fr,tout bien sauf transporteur pack… tout bien sauf transporteur pack assure livraison sonne ni téléphone donc commande renvoyée alors trouvais chez
Livraisons rapide,"Livraisons rapide
Satisfaite des vêtements et les choix proposez sur le site","Livraisons rapide Livraisons rapide
Satisfaite des vêtements et les choix proposez sur le site",fr,livraisons rapide livraisons rapide satisfaite vêtements choix proposez site
C'est de l'arnaque ne pas croire à ce…,"C'est de l'arnaque ne pas croire à ce jeux de point et les commentaires.(écrit : qu'ils ont reçu des cadeaux juste on partageant le code et parrainer).
Vous faite la publicité gratuite pour le site on espérant gagner 10 cadeaux, enfin ils te bloque sur 1 centime.
Null","C'est de l'arnaque ne pas croire à ce… C'est de l'arnaque ne pas croire à ce jeux de point et les commentaires.(écrit : qu'ils ont reçu des cadeaux juste on partageant le code et parrainer).
Vous faite la publicité gratuite pour le site on espérant gagner 10 cadeaux, enfin ils te bloque sur 1 centime.
Null",fr,cest larnaque croire ce… cest larnaque croire jeux point commentairesécrit quils reçu cadeaux juste partageant code parrainer faite publicité gratuite site espérant gagner 10 cadeaux enfin bloque 1 centime null
Voleurs a fuir et bannir,"Voleurs !
J'ai passé une grosse commande. Elle est marquée comme livrée sauf que la boîte aux lettres est vide. Je passe beaucoup de commandes à de gros montants je n'ai jamais eu de problème. Premier litige ils trouvent tout pout ne rien faire.
Gros voleurs de mauvaises foi !
A bannir.","Voleurs a fuir et bannir Voleurs !
J'ai passé une grosse commande. Elle est marquée comme livrée sauf que la boîte aux lettres est vide. Je passe beaucoup de commandes à de gros montants je n'ai jamais eu de problème. Premier litige ils trouvent tout pout ne rien faire.
Gros voleurs de mauvaises foi !
A bannir.",fr,voleurs fuir bannir voleurs jai passé grosse commande marquée comme livrée sauf boîte lettres vide passe beaucoup commandes gros montants nai jamais problème premier litige trouvent tout pout rien faire gros voleurs mauvaises foi bannir
D'excellent produits,Date de l'expérience: 03 mars 2025,D'excellent produits Date de l'expérience: 03 mars 2025,fr,dexcellent produits date lexpérience 03 mars 2025
Très satisfaite,Très satisfaite,Très satisfaite Très satisfaite,fr,très satisfaite très satisfaite
La commende est en sois bien,"La commende est en sois bien ! Mais objet cassé, vitre de téléphone qui ne sont pas conforme au téléphone","La commende est en sois bien La commende est en sois bien ! Mais objet cassé, vitre de téléphone qui ne sont pas conforme au téléphone",fr,commende bien commende bien objet cassé vitre téléphone conforme téléphone
Abordable pour tous,"Prix attractifs, abordables
Certains produits sont de bonnes qualités
On trouve tout dans tous les domaines : vêtements, bijoux, déco, événement","Abordable pour tous Prix attractifs, abordables
Certains produits sont de bonnes qualités
On trouve tout dans tous les domaines : vêtements, bijoux, déco, événement",fr,abordable tous prix attractifs abordables certains produits bonnes qualités trouve tout tous domaines vêtements bijoux déco événement
