Titre,Texte,text,language,clean_text
J’ai commandé des feutres que j’ai reçu…,"J’ai commandé des feutres que j’ai reçu mais par contre j’aimerai comprendre pourquoi j’ai payé 23,79€ et que finalement on m’a prélevé 30,78€ sur mon compte…. Merci pour vos explications","J’ai commandé des feutres que j’ai reçu… J’ai commandé des feutres que j’ai reçu mais par contre j’aimerai comprendre pourquoi j’ai payé 23,79€ et que finalement on m’a prélevé 30,78€ sur mon compte…. Merci pour vos explications",fr,’ commandé feutres ’ reçu… ’ commandé feutres ’ reçu contre ’ aimerai comprendre pourquoi ’ payé 2379€ finalement ’ a prélevé 3078€ compte… merci explications
Beau bijoux collier pines cheveux,"Beau bijoux collier, boucles d’oreilles, pince à cheveux
Belle chemise dorée,","Beau bijoux collier pines cheveux Beau bijoux collier, boucles d’oreilles, pince à cheveux
Belle chemise dorée,",fr,beau bijoux collier pines cheveux beau bijoux collier boucles ’ oreilles pince cheveux belle chemise dorée
La qualité des articles correspond à…,"La qualité des articles correspond à la description faitesur le site
Tres satisfait","La qualité des articles correspond à… La qualité des articles correspond à la description faitesur le site
Tres satisfait",fr,qualité articles correspond à… qualité articles correspond description faitesur site tres satisfait
Jais acheter des jouets pour ma petite…,Jais acheter des jouets pour ma petite minette super car il y a un choix à prix abordable.On en trouve pas dans les magasins d'aussi sympas. Et je vous assure qu'elle ce régale avec toutes ces balles et tout le reste. Je vous le recommande,Jais acheter des jouets pour ma petite… Jais acheter des jouets pour ma petite minette super car il y a un choix à prix abordable.On en trouve pas dans les magasins d'aussi sympas. Et je vous assure qu'elle ce régale avec toutes ces balles et tout le reste. Je vous le recommande,fr,jais acheter jouets petite… jais acheter jouets petite minette super car a choix prix abordableon trouve magasins daussi sympas assure quelle régale toutes balles tout reste recommande
Je n’ai pas reçu ma commande,"Je n’ai pas reçu ma commande, j’ai fait deux réclamations et toujours rien. J’aimerais être remboursé.","Je n’ai pas reçu ma commande Je n’ai pas reçu ma commande, j’ai fait deux réclamations et toujours rien. J’aimerais être remboursé.",fr,’ reçu commande ’ reçu commande ’ fait deux réclamations toujours rien ’ aimerais être remboursé
Vêtements,Rapidité et très bien,Vêtements Rapidité et très bien,fr,vêtements rapidité très bien
Toujours parfait,Toujours parfait,Toujours parfait Toujours parfait,fr,toujours parfait toujours parfait
Parfait,"Excellent communication
Rapidité de réponse
Excellent produit","Parfait Excellent communication
Rapidité de réponse
Excellent produit",fr,parfait excellent communication rapidité réponse excellent produit
Bonne expédition et bonne livraison,"Bonne expédition et bonne livraison.
La qualité des produits est à la hauteur du prix.","Bonne expédition et bonne livraison Bonne expédition et bonne livraison.
La qualité des produits est à la hauteur du prix.",fr,bonne expédition bonne livraison bonne expédition bonne livraison qualité produits hauteur prix
Cliente fidele…,Beaucoup de choix prix très corrects livraison rapide,Cliente fidele… Beaucoup de choix prix très corrects livraison rapide,fr,cliente fidele… beaucoup choix prix très corrects livraison rapide
Toujours satisfaite merci SHEIN,Date de l'expérience: 11 mars 2025,Toujours satisfaite merci SHEIN Date de l'expérience: 11 mars 2025,fr,toujours satisfaite merci shein date lexpérience 11 mars 2025
Les vêtements TRÈS bas de gamme,"Les vêtements sont mal coupés, de mauvaise qualité, sans doublure ne général, les mailles se décousent très rapidement et ne tiennent pas 2 fois portées ou même 1 lavage. En même temps, vu le prix, il ne faut pas s'attendre à de la qualité","Les vêtements TRÈS bas de gamme Les vêtements sont mal coupés, de mauvaise qualité, sans doublure ne général, les mailles se décousent très rapidement et ne tiennent pas 2 fois portées ou même 1 lavage. En même temps, vu le prix, il ne faut pas s'attendre à de la qualité",fr,vêtements très bas gamme vêtements mal coupés mauvaise qualité sans doublure général mailles décousent très rapidement tiennent 2 fois portées 1 lavage temps vu prix faut sattendre qualité
